date,time,employee_id,file,action
2026-03-24,07:11:03,BR-0291,ROUTE_IT_PL_Q1_2026.pdf,AUTH_FAILED
2026-03-24,08:44:12,BR-0204,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-24,08:58:03,BR-0334,ROUTE_DE_PL_Q1_2026.pdf,VIEW
2026-03-24,09:14:33,BR-0291,ROUTE_AT_HU_Q1_2026.pdf,VIEW
2026-03-24,09:51:07,BR-0291,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-24,09:55:22,PR-0122,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-24,10:04:17,BR-0334,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-24,10:22:18,BR-0291,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-24,10:32:44,PR-0114,CAPACITY_MARCH_2026.xlsx,VIEW
2026-03-24,10:48:55,PR-0122,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-24,11:05:02,BR-0204,DRIVER_SCHEDULE_WK12.xlsx,VIEW
2026-03-24,11:34:08,BR-0334,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-24,13:08:55,BR-0188,INSURANCE_Q1_TEMPLATE.docx,VIEW
2026-03-24,14:08:22,BR-0188,INSURANCE_Q1_TEMPLATE.docx,EDIT
2026-03-24,14:44:11,BR-0312,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-24,15:20:08,PR-0098,CAPACITY_MARCH_2026.xlsx,EDIT
2026-03-24,15:47:33,PR-0122,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-24,16:05:30,BR-0204,ROUTE_DE_PL_Q1_2026.pdf,VIEW
2026-03-24,21:03:44,PR-0122,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-24,23:12:04,BR-0312,DRIVER_SCHEDULE_WK13.xlsx,EDIT
2026-03-25,08:55:19,PR-0114,CAPACITY_MARCH_2026.xlsx,VIEW
2026-03-25,09:05:41,BR-0334,ROUTE_DE_PL_Q1_2026.pdf,VIEW
2026-03-25,09:20:33,BR-0204,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-25,09:21:14,BR-0204,ROUTE_AT_HU_Q1_2026.pdf,VIEW
2026-03-25,09:44:07,BR-0291,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-25,10:05:22,BR-0291,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-25,10:19:08,PR-0122,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-25,11:30:44,PR-0098,DRIVER_SCHEDULE_WK12.xlsx,VIEW
2026-03-25,12:02:17,BR-0334,CAPACITY_MARCH_2026.xlsx,VIEW
2026-03-25,13:17:33,BR-0188,INSURANCE_Q1_TEMPLATE.docx,EDIT
2026-03-25,14:02:18,PR-0114,CAPACITY_MARCH_2026.xlsx,EDIT
2026-03-25,14:44:55,BR-0312,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-25,16:44:08,BR-0204,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-25,19:55:02,PR-0122,ROUTE_IT_PL_Q1_2026.pdf,VIEW
2026-03-25,22:14:09,BR-0291,ROUTE_IT_PL_Q1_2026.pdf,EXPORT
2026-03-25,23:41:17,BR-0312,DRIVER_SCHEDULE_WK13.xlsx,EDIT
2026-03-26,08:40:22,PR-0114,CAPACITY_MARCH_2026.xlsx,VIEW
2026-03-26,09:12:33,BR-0204,ROUTE_DE_PL_Q1_2026.pdf,VIEW
2026-03-26,09:44:05,BR-0334,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-26,09:55:14,BR-0291,DRIVER_SCHEDULE_WK13.xlsx,VIEW
2026-03-26,10:30:07,BR-0188,INSURANCE_Q1_TEMPLATE.docx,VIEW
2026-03-26,11:14:22,BR-0204,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-26,20:14:38,PR-0122,ROUTE_DE_PL_Q1_2026.pdf,VIEW
2026-03-27,09:05:44,BR-0204,ROUTE_CZ_SK_Q1_2026.pdf,VIEW
2026-03-27,09:12:07,BR-0291,ROUTE_IT_PL_Q1_2026.pdf,ACCESS_DENIED
2026-03-27,09:14:33,BR-0204,ROUTE_IT_PL_Q1_2026.pdf,ACCESS_DENIED
2026-03-27,09:18:55,BR-0334,ROUTE_IT_PL_Q1_2026.pdf,ACCESS_DENIED
2026-03-27,09:22:41,PR-0122,ROUTE_IT_PL_Q1_2026.pdf,ACCESS_DENIED
2026-03-27,10:14:55,PR-0098,CAPACITY_MARCH_2026.xlsx,VIEW
2026-03-27,11:22:08,BR-0255,ROUTE_IT_PL_Q1_2026.pdf,VIEW
